Name,Date,Description
Fletcher SoCal trip cancelled 2 days before departure,March 2020,this is a bruh moment for us all
TRGs introduced and we all die of pain and suffering,August 2020,ah yes TRG
2020-2021 School Year confirmed to be fully remote,August 2020,
Ron Daustin renewed for idek how many more years,October 2020,
School year goes into remote,March 2020,
School Board decides to go ahead with atrocious hybrid plan in pathetic board meeting,October 2020,Hello? School Board?
CA returns to purple zone,November 2020,At least it cancelled the hybrid plan
Don Austin flamed on twitter,November 2020,https://twitter.com/DonAustin_SUP/status/1328534825238626304
